"","date","new_severe","new_diagnoses","test_yield","new_tests","cum_tested","new_deaths"
"1","2020-03-01",1,1,2.1,49,357,NA
"2","2020-03-02",0,4,5,80,437,NA
"3","2020-03-03",1,5,8.1,63,500,NA
"4","2020-03-04",0,3,3.4,89,589,NA
"5","2020-03-05",1,10,9.3,109,698,NA
"6","2020-03-06",4,2,1.6,127,825,NA
"7","2020-03-07",0,9,8.6,108,933,NA
"8","2020-03-08",3,48,21.1,229,1162,NA
"9","2020-03-09",10,210,36.5,578,1740,NA
"10","2020-03-10",15,256,31.9,806,2546,NA
"11","2020-03-11",10,207,23.6,883,3429,1
"12","2020-03-12",18,44,6.6,676,4105,0
"13","2020-03-13",26,33,4.7,710,4815,0
"14","2020-03-14",24,37,6.4,583,5398,1
"15","2020-03-15",33,45,6.3,723,6121,2
"16","2020-03-16",45,74,7.3,1016,7137,1
"17","2020-03-17",47,76,8.1,948,8085,1
"18","2020-03-18",47,83,6.8,1226,9311,4
"19","2020-03-19",50,107,5.8,1848,11159,5
"20","2020-03-20",64,103,8.8,1179,12338,4
"21","2020-03-21",34,48,8,602,12940,3
"22","2020-03-22",42,62,11.8,533,13473,3
"23","2020-03-23",85,132,11.8,1125,14598,6
"24","2020-03-24",81,139,12.4,1123,15721,6
"25","2020-03-25",92,151,11.1,1372,17093,6
"26","2020-03-26",82,171,10.7,1611,18704,12
"27","2020-03-27",89,217,10.4,2110,20814,12
"28","2020-03-28",82,200,14.6,1383,22197,9
"29","2020-03-29",52,128,10,1301,23498,8
"30","2020-03-30",69,313,9.8,3218,26716,11
"31","2020-03-31",51,255,8,3210,29926,15
"32","2020-04-01",60,282,8,3557,33483,22
"33","2020-04-02",74,382,6.7,5752,39235,18
"34","2020-04-03",72,473,7.2,6617,45852,20
"35","2020-04-04",44,312,8.5,3697,49549,15
"36","2020-04-05",36,158,7.2,2213,51762,12
"37","2020-04-06",51,424,6.5,6569,58331,17
"38","2020-04-07",56,347,5.5,6384,64715,12
"39","2020-04-08",28,301,5.4,5632,70347,15
"40","2020-04-09",34,140,5.6,2558,72905,13
"41","2020-04-10",34,142,6.2,2326,75231,16
"42","2020-04-11",31,140,6.4,2229,77460,11
"43","2020-04-12",27,157,7.4,2143,79603,11
"44","2020-04-13",30,156,7.4,2149,81752,16
"45","2020-04-14",46,258,4.2,6219,87971,12
"46","2020-04-15",30,199,3.6,5634,93605,10
"47","2020-04-16",33,178,3.4,5332,98937,12
"48","2020-04-17",27,168,3.6,4803,103740,9
"49","2020-04-18",27,106,4.7,2302,106042,10
"50","2020-04-19",34,114,6.2,1886,107928,6
"51","2020-04-20",33,215,3.3,6670,114598,7
"52","2020-04-21",38,202,2.1,9775,124373,12
"53","2020-04-22",29,229,2,11605,135978,14
"54","2020-04-23",33,232,1.9,12486,148464,10
"55","2020-04-24",22,165,1.1,14819,163283,6
"56","2020-04-25",27,136,1.1,12432,175715,5
"57","2020-04-26",26,122,1.2,10327,186042,5
"58","2020-04-27",21,219,1.3,17351,203393,9
"59","2020-04-28",15,136,0.8,16267,219660,10
"60","2020-04-29",15,140,0.9,16077,235737,9
"61","2020-04-30",17,150,0.9,15951,251688,9
"62","2020-05-01",16,153,1.1,14445,266133,11
"63","2020-05-02",24,117,1.1,11146,277279,8
"64","2020-05-03",16,78,0.9,8999,286278,9
"65","2020-05-04",15,123,0.7,17780,304058,7
"66","2020-05-05",16,123,0.8,15795,319853,3
"67","2020-05-06",6,107,0.8,14329,334182,6
